time,z,vz
2.390000000000001845e-01,2.775921013403302717e-02,1.734723475976807094e-18
2.400000000000001854e-01,2.774940348403302781e-02,1.734723475976807094e-18
2.410000000000001863e-01,2.773959683403302845e-02,-1.734723475976807094e-18
2.420000000000001872e-01,2.772979018403302909e-02,1.734723475976807094e-18
2.430000000000001881e-01,2.771998353403302973e-02,3.469446951953614189e-18
2.440000000000001890e-01,2.771017688403303036e-02,3.469446951953614189e-18
2.450000000000001898e-01,2.770037023403303100e-02,-1.734723475976807094e-18
2.460000000000001907e-01,2.769056358403303164e-02,3.469446951953614189e-18
2.470000000000001916e-01,2.768075693403303228e-02,0.000000000000000000e+00
2.480000000000001925e-01,2.767095028403303292e-02,0.000000000000000000e+00
2.490000000000001934e-01,2.766114363403303356e-02,0.000000000000000000e+00
2.500000000000001665e-01,2.765133698403303419e-02,0.000000000000000000e+00
2.500010000000001398e-01,2.765133697422638565e-02,-3.388131789017201356e-21
2.501009999999974642e-01,2.765133599356153077e-02,1.694065894508600678e-21
2.502009999999947887e-01,2.765133501289667589e-02,-3.388131789017201356e-21
2.503009999999921131e-01,2.765133403223182101e-02,-1.694065894508600678e-21
2.504009999999894376e-01,2.765133305156696614e-02,0.000000000000000000e+00
2.505009999999867620e-01,2.765133207090211126e-02,-1.694065894508600678e-21
2.506009999999840865e-01,2.765133109023725638e-02,0.000000000000000000e+00
2.507009999999814109e-01,2.765133010957240151e-02,-3.388131789017201356e-21
2.508009999999787354e-01,2.765132912890754663e-02,-1.694065894508600678e-21
2.509009999999760598e-01,2.765132814824269175e-02,-1.694065894508600678e-21
2.510009999999733843e-01,2.765132716757783687e-02,-1.694065894508600678e-21
2.510029999999733308e-01,2.765132714796453978e-02,0.000000000000000000e+00
2.510039999999733040e-01,2.765132713815789123e-02,-1.694065894508600678e-21
2.510049999999732773e-01,2.765132712835124268e-02,0.000000000000000000e+00
2.510059999999732505e-01,2.765132711854459413e-02,0.000000000000000000e+00
2.510069999999732238e-01,2.765132710873794558e-02,0.000000000000000000e+00
2.510079999999731970e-01,2.765132709893129703e-02,-1.694065894508600678e-21
2.510089999999731702e-01,2.765132708912464848e-02,-1.694065894508600678e-21
2.510099999999731435e-01,2.765132707931799994e-02,0.000000000000000000e+00
2.510109999999731167e-01,2.765132706951135139e-02,-1.694065894508600678e-21
2.510119999999730900e-01,2.765132705970470284e-02,0.000000000000000000e+00
